ticker,date,open,high,low,close,volume
AAPL,2025-01-02,175.0,176.7,173.05,176.46,29979419
AMZN,2025-01-02,185.0,187.37,183.49,186.49,75756103
MSFT,2025-01-02,415.0,424.21,412.82,422.1,64023381
NVDA,2025-01-02,480.0,483.7,478.66,481.43,43396306
TSLA,2025-01-02,240.0,243.41,235.2,235.84,36117675
AAPL,2025-01-03,176.46,176.89,171.84,172.64,51598928
AMZN,2025-01-03,186.49,191.39,185.35,191.06,70656608
MSFT,2025-01-03,422.1,438.47,420.01,434.65,25388239
NVDA,2025-01-03,481.43,501.77,479.3,494.84,61296233
TSLA,2025-01-03,235.84,237.72,231.16,231.77,58141058
AAPL,2025-01-06,172.64,173.83,165.9,168.36,29672546
AMZN,2025-01-06,191.06,191.26,187.71,188.5,57755954
MSFT,2025-01-06,434.65,436.41,420.51,426.56,64374486
NVDA,2025-01-06,494.84,497.49,485.45,485.97,58612578
TSLA,2025-01-06,231.77,232.86,228.53,231.2,52672777
AAPL,2025-01-07,168.36,169.95,164.48,165.66,63051262
AMZN,2025-01-07,188.5,194.56,186.84,193.93,62356540
MSFT,2025-01-07,426.56,432.55,420.5,427.64,54203494
NVDA,2025-01-07,485.97,492.58,478.09,482.28,31636664
TSLA,2025-01-07,231.2,234.4,229.12,231.74,54160231
AAPL,2025-01-08,165.66,168.59,163.69,167.15,54544950
AMZN,2025-01-08,193.93,194.15,190.4,193.09,74264266
MSFT,2025-01-08,427.64,433.57,423.81,427.04,18817123
NVDA,2025-01-08,482.28,485.05,471.1,474.31,30442738
TSLA,2025-01-08,231.74,232.68,230.1,230.34,49193730
AAPL,2025-01-09,167.15,169.35,164.21,164.93,25714555
AMZN,2025-01-09,193.09,195.9,190.29,195.3,39777665
MSFT,2025-01-09,427.04,439.78,421.75,438.85,54932130
NVDA,2025-01-09,474.31,477.35,471.9,476.83,18950951
TSLA,2025-01-09,230.34,233.01,229.57,230.25,25257007
AAPL,2025-01-10,164.93,167.85,162.82,166.89,79237481
AMZN,2025-01-10,195.3,196.87,192.72,196.27,35686867
MSFT,2025-01-10,438.85,444.58,423.47,427.47,78189446
NVDA,2025-01-10,476.83,483.35,467.69,469.08,19755156
TSLA,2025-01-10,230.25,234.81,228.16,232.01,19263272
AAPL,2025-01-13,166.89,169.94,165.27,169.53,39090698
AMZN,2025-01-13,196.27,199.03,194.41,194.68,17677299
MSFT,2025-01-13,427.47,439.43,424.62,437.48,56565989
NVDA,2025-01-13,469.08,471.78,465.23,469.48,51187376
TSLA,2025-01-13,232.01,234.18,228.46,230.41,31872115
AAPL,2025-01-14,169.53,174.7,168.9,173.06,63971471
AMZN,2025-01-14,194.68,200.13,192.44,199.34,21898363
MSFT,2025-01-14,437.48,441.94,423.49,426.51,36231220
NVDA,2025-01-14,469.48,476.1,455.9,459.12,46720415
TSLA,2025-01-14,230.41,240.01,226.99,236.92,63366822
AAPL,2025-01-15,173.06,173.54,172.28,172.64,20288191
AMZN,2025-01-15,199.34,201.1,197.05,197.59,56651888
MSFT,2025-01-15,426.51,439.32,424.39,437.63,31017943
NVDA,2025-01-15,459.12,462.62,447.84,452.04,21330097
TSLA,2025-01-15,236.92,240.09,230.4,231.44,66579787
AAPL,2025-01-16,172.64,175.36,171.55,173.18,72828171
AMZN,2025-01-16,197.59,203.35,195.28,200.55,25905308
MSFT,2025-01-16,437.63,438.87,428.91,431.48,45683821
NVDA,2025-01-16,452.04,455.22,437.11,441.11,46341494
TSLA,2025-01-16,231.44,234.0,229.38,233.4,45448882
AAPL,2025-01-17,173.18,173.82,169.33,171.74,59376630
AMZN,2025-01-17,200.55,208.83,200.02,206.28,16663384
MSFT,2025-01-17,431.48,436.45,420.75,426.72,45755020
NVDA,2025-01-17,441.11,451.53,438.53,450.74,58364389
TSLA,2025-01-17,233.4,235.99,225.32,226.44,48593765
AAPL,2025-01-20,171.74,172.61,166.59,168.94,30622331
AMZN,2025-01-20,206.28,209.16,201.49,202.31,42629602
MSFT,2025-01-20,426.72,433.64,420.92,429.82,51080034
NVDA,2025-01-20,450.74,453.73,435.37,439.88,72825865
TSLA,2025-01-20,226.44,231.86,223.38,230.0,56963185
AAPL,2025-01-21,168.94,173.74,167.48,172.65,70976203
AMZN,2025-01-21,202.31,208.68,201.57,205.98,32905028
MSFT,2025-01-21,429.82,431.85,421.6,422.42,74113794
NVDA,2025-01-21,439.88,441.5,426.35,429.57,24407474
TSLA,2025-01-21,230.0,232.29,225.75,227.22,25256869
AAPL,2025-01-22,172.65,173.72,169.18,171.25,32916578
AMZN,2025-01-22,205.98,208.21,199.82,201.77,17598764
MSFT,2025-01-22,422.42,424.29,406.96,411.49,44406068
NVDA,2025-01-22,429.57,431.67,422.64,427.56,76959305
TSLA,2025-01-22,227.22,227.96,225.13,225.5,76903503
AAPL,2025-01-23,171.25,175.15,168.85,173.32,57612671
AMZN,2025-01-23,201.77,206.96,201.05,206.11,45890427
MSFT,2025-01-23,411.49,424.28,408.84,419.73,69163560
NVDA,2025-01-23,427.56,432.82,415.41,416.67,21570543
TSLA,2025-01-23,225.5,226.14,223.14,225.91,16307062
AAPL,2025-01-24,173.32,175.26,167.74,169.9,40464823
AMZN,2025-01-24,206.11,208.68,203.68,204.25,29960146
MSFT,2025-01-24,419.73,424.08,418.24,423.61,35090967
NVDA,2025-01-24,416.67,422.92,404.09,405.43,21258758
TSLA,2025-01-24,225.91,227.28,220.38,220.65,69141740
AAPL,2025-01-27,169.9,172.27,166.65,167.55,29738124
AMZN,2025-01-27,204.25,205.01,196.35,198.41,73005744
MSFT,2025-01-27,423.61,435.64,422.46,434.58,32748007
NVDA,2025-01-27,405.43,421.16,400.29,415.8,47590824
TSLA,2025-01-27,220.65,221.05,217.51,218.1,78548701
AAPL,2025-01-28,167.55,171.58,166.86,169.41,30371155
AMZN,2025-01-28,198.41,200.76,191.33,193.28,49185636
MSFT,2025-01-28,434.58,435.67,421.47,424.55,33276979
NVDA,2025-01-28,415.8,421.25,414.35,415.33,26048610
TSLA,2025-01-28,218.1,220.55,211.83,212.59,66043147
AAPL,2025-01-29,169.41,174.8,167.82,172.68,19441842
AMZN,2025-01-29,193.28,196.13,190.68,192.12,78031137
MSFT,2025-01-29,424.55,426.23,414.72,418.99,61137151
NVDA,2025-01-29,415.33,421.47,407.66,412.31,67618087
TSLA,2025-01-29,212.59,213.6,211.36,213.01,78541939
